Truth,FirstName,LastName,Phone,Email,Result,Confidence Percentage
1,0.3444708,0.27092308,0.90633774,0.49252993,Products,0.5035653859376907
10,0.07785842,0.12167298,0.29319695,0.84000313,Contacts,0.3331828694790602
100,0.23911108,0.079152994,0.96897995,0.5775726,Contacts,0.46620415337383747
101,0.9062366,0.9250858,0.79966795,0.8709543,Products,0.8754861503839493
102,0.7457875,0.9062366,0.8709543,0.7837554,Products,0.826683446764946
103,0.54358107,0.79966795,0.9062366,0.7837554,Products,0.7583102583885193
104,0.84582454,0.79966795,0.9062366,0.9250858,Products,0.8692037165164948
105,0.8334906,0.9062366,0.8709543,0.7837554,Products,0.8486092239618301
106,0.85558826,0.8709543,0.9062366,0.7388428,Products,0.8429054766893387
107,0.9062366,0.60122955,0.8334906,0.7837554,Products,0.7811780422925949
108,0.9062366,0.8709543,0.97046345,0.79966795,Products,0.8868305683135986
109,0.9538584,0.79966795,0.9062366,0.54358107,Products,0.8008359968662262
11,0.14189066,0.12208235,0.17383686,0.43483636,Contacts,0.21816155686974525
110,0.7837554,0.9250858,0.9062366,0.8334906,Products,0.8621421009302139
111,0.8334906,0.9062366,0.8709543,0.85558826,Products,0.8665674328804016
112,0.8899949,0.9062366,0.9250858,0.60122955,Products,0.8306367099285126
113,0.9538584,0.9062366,0.9250858,0.7457875,Products,0.8827420622110367
114,0.84582454,0.9250858,0.9062366,0.9515403,Products,0.9071718007326126
115,0.54358107,0.9062366,0.9538584,0.8709543,Products,0.8186575770378113
116,0.8334906,0.9062366,0.8709543,0.7837554,Products,0.8486092239618301
117,0.7837554,0.8709543,0.9062366,0.9538584,Products,0.8787011653184891
118,0.7837554,0.9062366,0.9250858,0.85558826,Products,0.8676665127277374
119,0.9062366,0.9250858,0.79966795,0.8709543,Products,0.8754861503839493
12,0.06924808,0.15931664,0.24785604,0.21713711,Contacts,0.1733894683420658
120,0.9062366,0.8709543,0.8334906,0.7837554,Products,0.8486092239618301
121,0.84582454,0.9062366,0.9250858,0.60122955,Products,0.8195941150188446
122,0.7457875,0.9250858,0.9062366,0.60122955,Products,0.7945848554372787
123,0.8334906,0.9062366,0.8709543,0.7837554,Products,0.8486092239618301
124,0.7837554,0.79966795,0.9062366,0.8709543,Products,0.8401535600423813
125,0.8334906,0.9062366,0.8709543,0.85558826,Products,0.8665674328804016
126,0.7837554,0.8709543,0.9062366,0.39514703,Products,0.7390233278274536
127,0.8899949,0.9062366,0.8709543,0.7837554,Products,0.8627353012561798
128,0.7837554,0.9062366,0.9250858,0.8709543,Products,0.8715080171823502
129,0.8899949,0.9062366,0.8709543,0.60122955,Products,0.8171038329601288
13,0.56848127,0.03137899,0.21389765,0.4925654,Contacts,0.32658082339912653
130,0.7837554,0.8709543,0.9062366,0.8334906,Products,0.8486092239618301
131,0.7837554,0.9062366,0.9250858,0.85558826,Products,0.8676665127277374
132,0.7457875,0.9250858,0.9062366,0.9515403,Products,0.8821625411510468
133,0.9538584,0.79966795,0.9062366,0.8709543,Products,0.8826792985200882
134,0.9062366,0.8709543,0.97046345,0.6690771,Products,0.8541828542947769
135,0.7457875,0.9062366,0.8709543,0.7837554,Products,0.826683446764946
136,0.84582454,0.9062366,0.9250858,0.8709543,Products,0.8870252966880798
137,0.84582454,0.79966795,0.9062366,0.85558826,Products,0.8518293350934982
138,0.9062366,0.8709543,0.9538584,0.6690771,Products,0.8500315845012665
139,0.7837554,0.8709543,0.9062366,0.84582454,Products,0.8516927063465118
14,0.19924693,0.02768635,0.23997006,0.4229934,Contacts,0.22247418202459812
140,0.7837554,0.79966795,0.9062366,0.85558826,Products,0.8363120555877686
141,0.9538584,0.9062366,0.9250858,0.8709543,Products,0.9140337556600571
142,0.9062366,0.8709543,0.97046345,0.85558826,Products,0.900810644030571
143,0.54358107,0.79966795,0.9062366,0.8709543,Products,0.7801099717617035
144,0.8334906,0.9062366,0.8709543,0.9515403,Products,0.8905554413795471
145,0.7837554,0.9062366,0.9250858,0.7457875,Products,0.8402163237333298
146,0.9062366,0.60122955,0.8334906,0.8709543,Products,0.8029777556657791
147,0.8899949,0.9062366,0.9250858,0.7837554,Products,0.8762681782245636
148,0.7837554,0.8709543,0.9062366,0.54358107,Products,0.7761318385601044
149,0.8899949,0.9062366,0.8709543,0.85558826,Products,0.8806935101747513
15,0.4359961,0.05905425,0.20445327,0.5975935,Contacts,0.324274274520576
150,0.8334906,0.9062366,0.8709543,0.6690771,Products,0.8199396431446075
151,0.9062366,0.9250858,0.79966795,0.85558826,Products,0.8716446459293365
152,0.7837554,0.9062366,0.9250858,0.9515403,Products,0.8916545212268829
153,0.7837554,0.79966795,0.9062366,0.9250858,Products,0.8536864370107651
154,0.54358107,0.79966795,0.9062366,0.9515403,Products,0.8002564758062363
155,0.84582454,0.79966795,0.9062366,0.60122955,Products,0.7882396578788757
156,0.7457875,0.9062366,0.8709543,0.9515403,Products,0.868629664182663
157,0.9062366,0.60122955,0.8334906,0.85558826,Products,0.7991362512111664
158,0.9062366,0.8709543,0.97046345,0.7837554,Products,0.8828524351119995
159,0.7837554,0.79966795,0.9062366,0.8334906,Products,0.8307876437902451
16,0.04869073,0.05728783,0.27993932,0.87585,Contacts,0.31544197630137205
160,0.8899949,0.9062366,0.8709543,0.8334906,Products,0.8751690983772278
161,0.8899949,0.9062366,0.9250858,0.85558826,Products,0.8942263871431351
162,0.9062366,0.8709543,0.9538584,0.85558826,Products,0.8966593742370605
163,0.84582454,0.79966795,0.9062366,0.7837554,Products,0.8338711261749268
164,0.54358107,0.9062366,0.9538584,0.85558826,Products,0.8148160725831985
165,0.7457875,0.9062366,0.8709543,0.54358107,Products,0.7666398584842682
166,0.8334906,0.9062366,0.8709543,0.7457875,Products,0.839117243885994
167,0.9062366,0.8709543,0.9538584,0.7837554,Products,0.8787011653184891
168,0.9062366,0.8709543,0.9538584,0.8334906,Products,0.891134962439537
169,0.7457875,0.9062366,0.8709543,0.6690771,Products,0.7980138659477234
17,0.42674354,0.55483776,0.31617188,0.7271918,Products,0.5062362477183342
170,0.8899949,0.9062366,0.8709543,0.54358107,Products,0.802691712975502
171,0.54358107,0.79966795,0.9062366,0.7837554,Products,0.7583102583885193
172,0.8899949,0.9062366,0.9250858,0.9515403,Products,0.9182143956422806
173,0.8899949,0.9062366,0.8709543,0.6690771,Products,0.8340657204389572
174,0.8899949,0.9062366,0.8709543,0.7837554,Products,0.8627353012561798
175,0.9062366,0.9250858,0.79966795,0.60122955,Products,0.808054968714714
176,0.9062366,0.8709543,0.97046345,0.60122955,Products,0.8372209668159485
177,0.7457875,0.9062366,0.8709543,0.85558826,Products,0.8446416556835175
178,0.7837554,0.79966795,0.9062366,0.9515403,Products,0.8603000640869141
179,0.84582454,0.9062366,0.9250858,0.8709543,Products,0.8870252966880798
18,0.24200165,0.0880608,0.30660686,0.7223693,Contacts,0.33975965715944767
180,0.7837554,0.79966795,0.9062366,0.85558826,Products,0.8363120555877686
181,0.84582454,0.79966795,0.9062366,0.8709543,Products,0.855670839548111
182,0.54358107,0.79966795,0.9062366,0.8334906,Products,0.7707440555095673
183,0.84582454,0.9062366,0.8709543,0.60122955,Products,0.8060612380504608
184,0.84582454,0.79966795,0.9062366,0.9250858,Products,0.8692037165164948
185,0.54358107,0.79966795,0.9062366,0.85558826,Products,0.7762684673070908
186,0.8899949,0.9062366,0.9250858,0.8709543,Products,0.8980678915977478
187,0.54358107,0.79966795,0.9062366,0.8709543,Products,0.7801099717617035
188,0.54358107,0.9062366,0.9538584,0.7837554,Products,0.7968578636646271
189,0.9062366,0.9250858,0.79966795,0.9515403,Products,0.8956326544284821
19,0.7162241,0.07945715,0.38367572,0.26440507,Contacts,0.36094050481915474
190,0.8899949,0.9062366,0.9250858,0.9515403,Products,0.9182143956422806
191,0.9062366,0.60122955,0.8334906,0.7457875,Products,0.7716860622167587
192,0.7457875,0.9062366,0.8709543,0.8334906,Products,0.839117243885994
193,0.9062366,0.9250858,0.79966795,0.7837554,Products,0.8536864370107651
194,0.9062366,0.9250858,0.79966795,0.7457875,Products,0.8441944569349289
195,0.84582454,0.9062366,0.9250858,0.85558826,Products,0.8831837922334671
196,0.9062366,0.8709543,0.9538584,0.9515403,Products,0.920647382736206
197,0.8899949,0.9062366,0.9250858,0.8709543,Products,0.8980678915977478
198,0.54358107,0.9062366,0.9538584,0.8334906,Products,0.809291660785675
199,0.84582454,0.79966795,0.9062366,0.8334906,Products,0.8463049232959747
2,0.06619041,0.079152994,0.22941671,0.56572384,Contacts,0.23512098751962185
